demand_id,Title,Place,Text,Year,YEAR,DemandNum,PageNum,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic
501,Student Body Referendum 1970.doc,Page 1: 4-131,We demand that  President Shannon express public supportfor the right of University employees to strikeand bargain collectively.,1970,1970,1,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
502,Student Body Referendum 1970.doc,Page 1: 499-873,"we feel that our First Amendment rights to protest government policy are threatened by the injunction sought by- the University and filed by the Honorable Lyttleton Waddell, Judge of the Circuit Court, on May 5, 1970. In orderto  protectthese FirstAmend-ment rights and to. guarentee University autonomy, we demandthe  University, as complainant, to  revoke\ said injunction.",1970,1970,2,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
503,Student Body Referendum 1970.doc,Page 1: 1010-1283,"we demandthat University President, Edgar Shannon, prohibit University police from carrying firearms, and the University not allow any outside law enforcement officers  onits property- FBI, CIA, National Guard, Va. State Police, Charlottesville-Albemarle County Police, etc.",1970,1970,3,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
504,Student Body Referendum 1970.doc,Page 1: 1299-1504,"We demandthat President Shannon convene a general meetingof theentireUniversity faculty in  order tocommence proceedings to remove completely the presenceof  ROTC- Navy, Army, Air Force-  From the G rounds.",1970,1970,4,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
505,Student Body Referendum 1970.doc,Page 1: 1515-1671,e demand that  President Shannon immediately initiate action to sever any contractual obligations presently maintained with the Judge AdvocateGeneral Corps.,1970,1970,5,0,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
506,Student Body Referendum 1970.doc,Page 1: 1686-1850,"We demand that the University terminate all research sponsored by, or related to the Department ofDefense, and that no classified research be countenancedany longer.",1970,1970,6,1,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
507,Student Body Referendum 1970.doc,Page 1: 1863-2024,"We demand that President Shannonsign President Hester's statement of 5 May, 1970, and communicate this approval to  President Nixon at the earliestpossible time.(",1970,1970,7,1,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
508,Student Body Referendum 1970.doc,Page 1: 2032-2259,"We demand that the University of  Virginia publicly commit itself to accepting 20 % as a goal for the en­ rollment of black students throughoutthe University, and further, that $100,000.00 be allocated for blackadmissions progra",1970,1970,8,1,Student Body Referendum,Student Body,Student Group,7175,Students,"Voted to strike for, endorse but not strike, or oppose  motions",Students
53,1987 an-audacious-faith.pdf,Page 1: 0-1121,"-28-expected. black students. and faculty to accommodate themselves to the existing majority culture while the majority failed to appreciate and promote the important contributions made by minority cultures. He must move forward from the days when this University assumed that those black students and faculty who were admitted to ,the institution were not quite qualified to be here and were somehow taking the IIrightful ll places of more meritorious whites. He mus.t move forward from a presumption that the cause of the academic ·inequality of black students at this institution , stems totally from short.comi ngswi thin those students rather than from shortcomings within the instittltion itself. He must move forward from the belief that all the benefits of the relationship between itself and blacks flow· in one direction. He must come to realize that the University of Virginia ·is a far $uperior and richer institution in every way because of the presenteof black. students. faculty. and staff; without such an active presence. the University        becomes           and the education it offers sadly lacking.",1987,1987,1,0,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
54,1987 an-audacious-faith.pdf,Page 1: 0-262,"-44-average salary of approximately $40,000, be made available for permanent allocation from a central pool for the 1988-89 academic year. An additional five such permanent faculty positions should be made. avanab1e annually in each of the four following years. S",1987,1987,2,0,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
